tx,1003,2025,2018,2027,2015,1010,1026,2008,2005,1011,2006,2007,2020,2011,2024,1012,1002,2022,2004,2017,1001,2026,2009,2010,2019,1025,x
add and remove key to/from account + call empty contract function,13670,9,0,0,8,0,26572,0,0,0,0,728,2533,8,364,0,12942,5,364,8,26252,0,0,0,0,728,99
get account and get storage used,574,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,574,5,0,8,1150,0,0,0,574,0,9
call empty contract function + convert int to string and concatenate it,141539,9,0,0,8,0,0,0,0,0,0,0,2615,8,0,0,72934,5,0,8,145872,0,0,0,0,0,719
mint NFT + create new account,5245,1395,0,0,1394,1292,0,1292,1326,3876,77,77,5601,1394,0,0,1369,467,0,470,9202,255365,0,0,0,0,935
load and save empty string on signers address + get account and get balance,48855,6906,0,0,6905,0,0,0,0,0,0,0,835464,6905,0,0,24246,3635,0,5453,73105,1148,0,363,0,0,388
get account and get storage capacity + get account and get available balance,7225,4725,127,0,4724,0,0,0,0,0,0,0,1791248,4724,0,0,786,1577,0,3938,9206,0,659,0,659,0,349
get account and get balance + copy array from storage and save a duplicate,726,5276,0,0,5275,0,325,0,13,0,0,0,529402,5275,0,0,307,4127,0,5275,1141,1681,0,229,0,0,110
add and remove key to/from account + get account and get storage capacity,2364,2259,375,0,2258,0,11899,0,0,0,0,326,871269,2258,163,0,538,755,163,1883,2368,0,0,0,0,326,254
get account and get available balance + get signer vault,7407,3963,0,0,3962,0,0,0,0,0,0,0,1530616,3962,0,0,1476,1323,0,3303,10205,0,659,0,659,0,333
call empty contract function,37690,9,0,0,8,0,0,0,0,0,0,0,2533,8,0,0,37690,5,0,8,75382,0,0,0,0,0,143
copy array from storage + call empty contract function,69047,9,0,0,8,0,96130,0,0,0,0,0,4222,8,0,0,117112,5,0,8,263067,0,0,0,0,0,620
,2,1,0,0,0,0,73,0,0,0,1,2,2134,0,0,0,0,0,1,0,2,0,0,0,0,1,12
get account and get storage capacity + copy array from storage and save a duplicate,3876,351,57,0,350,0,29925,0,1197,0,0,0,134266,350,0,0,7239,119,0,293,20638,1681,0,0,0,0,84
get account and get storage capacity + get signer receiver,5117,58,7,0,57,0,0,0,0,0,0,0,19864,57,0,0,1701,33,0,57,3427,0,0,0,0,0,37
create new account and deploy contract + get account and get storage used,9561,1067,0,46,1112,46,1702,0,92,0,46,92,55488,1112,0,0,9469,833,0,836,18988,7590,0,0,9423,92,268
get public account,28042,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,28042,5,0,8,56086,0,0,0,0,0,194
borrow array from storage,10345,9,0,0,8,0,0,0,0,0,0,0,4001,8,0,0,62070,5,0,8,155177,0,0,0,0,0,448
copy array from storage,19226,9,0,0,8,0,192260,0,0,0,0,0,4001,8,0,0,115356,5,0,8,288392,0,0,0,0,0,679
get signer address,0,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,159839,5,0,8,319680,0,0,0,0,0,228
add and remove key to/from account + copy array from storage,3510,9,0,0,8,0,73843,0,0,0,0,1802,4124,8,901,0,5743,5,901,8,14812,0,0,0,0,1802,141
get signer vault + call empty contract function,55477,9,0,0,8,0,0,0,0,0,0,0,3811,8,0,0,55477,5,0,8,110958,0,0,0,0,0,403
get signer address + convert int to string and concatenate it,137210,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,75728,5,0,8,151460,0,0,0,0,0,389
get account and get balance + add key to account,4557,7371,0,0,7370,0,121545,0,0,0,0,1665,939740,7370,0,0,2074,2459,1665,4507,4970,0,0,409,0,1665,334
get signer address,0,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,194385,5,0,8,388772,0,0,0,0,0,856
reference tx + get public account,3857,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,120418,5,0,8,124279,0,0,0,0,0,132
get public account,41133,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,41133,5,0,8,82268,0,0,0,0,0,294
get account and get balance,516,3277,0,0,3276,0,0,0,0,0,0,0,396536,3276,0,0,172,1725,0,2588,690,0,0,172,0,0,83
copy array from storage + call empty contract function,69047,9,0,0,8,0,96130,0,0,0,0,0,4222,8,0,0,117112,5,0,8,263067,0,0,0,0,0,769
create new account and deploy contract,525,3159,0,175,3333,175,6475,0,350,0,175,350,211869,3333,0,0,175,1055,0,1058,527,28875,0,0,0,350,392
get signer address + get account and get balance,351,2115,0,0,2114,0,0,0,0,0,0,0,270476,2114,0,0,89269,707,0,1295,178776,0,0,117,0,0,280
call empty contract function + get signer vault,35617,9,0,0,8,0,0,0,0,0,0,0,3934,8,0,0,35617,5,0,8,71238,0,0,0,0,0,241
get signer address,0,9,0,0,8,0,0,0,0,0,0,0,2200,8,0,0,366893,5,0,8,733788,0,0,0,0,0,713
copy array from storage and save a duplicate + get signer address,3510,9,0,0,8,0,29250,0,1170,0,0,0,4534,8,0,0,25970,5,0,8,57794,1681,0,0,0,0,195
load and save long string on signers address + mint NFT,31812,9,0,0,8,2083,0,2083,2138,6249,0,0,6973,8,0,0,13823,5,0,8,49805,411152,0,0,0,0,238
transfer tokens,34441,9,0,0,8,9393,0,3131,0,9393,0,6262,4117,8,0,3131,3131,5,0,8,72015,225,0,0,0,0,384
convert int to string and concatenate it,274420,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,137210,5,0,8,274422,0,0,0,0,0,644
load and save empty string on signers address + create new account,29181,279,0,0,278,0,0,0,0,0,15,15,3591,278,0,0,14598,95,0,98,43783,1148,0,0,0,0,114
get account and get balance,2031,12195,0,0,12194,0,0,0,0,0,0,0,1553996,12194,0,0,677,4067,0,7455,2710,0,0,677,0,0,518
get account and get storage capacity,2965,3567,593,0,3566,0,0,0,0,0,0,0,1351980,3566,0,0,593,1191,0,2973,2967,0,0,0,0,0,233
load and save empty string on signers address + get public account,15171,9,0,0,8,0,0,0,0,0,0,0,3591,8,0,0,12342,5,0,8,27517,1148,0,0,0,0,65
call empty contract function + load and save empty string on signers address,76734,9,0,0,8,0,0,0,0,0,0,0,3814,8,0,0,47939,5,0,8,124677,1148,0,0,0,0,311
add and remove key to/from account + get account and get storage capacity,2815,1317,218,0,1316,0,41975,0,0,0,0,1150,498480,1316,575,0,793,441,575,1098,2819,0,0,0,0,1150,166
convert int to string and concatenate it + load and save empty string on signers address,157454,9,0,0,8,0,0,0,0,0,0,0,3591,8,0,0,78727,5,0,8,167580,1148,0,0,0,0,464
get account and get storage capacity,3075,4314,615,0,4313,0,0,0,0,0,0,0,1402052,4313,0,0,615,2465,0,4313,3077,0,0,0,0,0,219
add and remove key to/from account + borrow array from storage,2854,9,0,0,8,0,34310,0,0,0,0,940,4124,8,470,0,9134,5,470,8,23074,0,0,0,0,940,160
get signer receiver + convert int to string,59342,9,0,0,8,0,0,0,0,0,0,0,3953,8,0,0,26972,5,0,8,53948,0,0,0,0,0,446
get account and get available balance + mint NFT,14978,4622,0,0,4621,2097,0,2097,2150,6291,0,0,1531975,4621,0,0,2756,2641,0,4621,23250,411779,659,0,659,0,534
load and save long string on signers address,22196,9,0,0,8,0,0,0,0,0,0,0,3591,8,0,0,11098,5,0,8,33296,1189,0,0,0,0,98
convert int to string + add and remove key to/from account,6159,9,0,0,8,0,21608,0,0,0,0,592,2394,8,296,0,5567,5,296,8,11434,0,0,0,0,592,63
convert int to string and concatenate it + get account and get storage capacity,14588,1221,202,0,1220,0,0,0,0,0,0,0,462064,1220,0,0,6991,409,0,1018,14592,0,0,0,0,0,91
get account and get available balance + borrow array from storage,2943,1755,0,0,1754,0,0,0,0,0,0,0,666317,1754,0,0,489,587,0,1463,4282,0,291,0,291,0,161
add key to account,1622,9,0,0,8,0,59203,0,0,0,0,811,2394,8,0,0,811,5,811,8,1624,0,0,0,0,811,93
copy array from storage + get account and get storage used,11972,9,0,0,8,0,31600,0,0,0,0,0,4001,8,0,0,27772,5,0,8,65028,0,0,0,8812,0,1541
add key to account + copy array from storage,5935,9,0,0,8,0,148814,0,0,0,0,1688,4001,8,0,0,17042,5,1688,8,41765,0,0,0,0,1688,287
reference tx + get account and get storage used,8259,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,91423,5,0,8,99686,0,0,0,8259,0,1187
call empty contract function + convert int to string and concatenate it,196644,9,0,0,8,0,0,0,0,0,0,0,2615,8,0,0,128039,5,0,8,256082,0,0,0,0,0,582
load and save long string on signers address + transfer tokens,26524,9,0,0,8,2184,0,728,0,2184,0,1456,4117,8,0,728,9986,5,0,8,44522,1414,0,0,0,0,147
get signer vault + add key to account,41233,9,0,0,8,0,187902,0,0,0,0,2574,3713,8,0,0,38659,5,2574,8,77322,0,0,0,0,2574,2821
convert int to string and concatenate it,57390,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,28695,5,0,8,57392,0,0,0,0,0,184
convert int to string and concatenate it + copy array from storage and save a duplicate,57376,9,0,0,8,0,31100,0,1244,0,0,0,4534,8,0,0,34286,5,0,8,74796,1681,0,0,0,0,143
borrow array from storage + get account and get balance,3841,6403,0,0,6402,0,0,0,0,0,0,0,641177,6402,0,0,18320,5009,0,6402,46221,0,0,278,0,0,847
emit event + transfer tokens,9833,9,0,0,8,3904,0,405,0,1215,0,3499,4338,8,0,405,3094,5,0,8,17386,225,0,0,0,0,70
get account and get balance + create new account and deploy contract,864,6057,0,55,6111,55,2035,0,110,0,55,110,599928,6111,0,0,288,4037,0,5205,1101,9075,0,233,0,110,249
get account and get storage capacity,1595,1923,319,0,1922,0,0,0,0,0,0,0,741517,1922,0,0,319,643,0,1603,1597,0,0,0,0,0,187
load and save long string on signers address + call empty contract function,32295,9,0,0,8,0,0,0,0,0,0,0,3689,8,0,0,31787,5,0,8,64086,1189,0,0,0,0,175
