tx,TransferCompositeValue,GetCode,GetAccountAvailableBalance,GetValue,GetStorageUsed,RLPDecoding,AllocateStorageIndex,DestroyCompositeValue,TransferArrayValue,GetCurrentBlockHeight,EmitEvent,EncodeValue,CreateAccount,EncodeEvent,GetAccountBalance,UpdateAccountContractCode,EVMGasUsage,Statement,CreateArrayValue,GetBlockAtHeight,GetStorageCapacity,CreateCompositeValue,AddEncodedAccountKey,RevokeEncodedAccountKey,GetAccountContractCode,TransferDictionaryValue,FunctionInvocation,ResolveLocation,GetOrLoadProgram,SetValue,CreateDictionaryValue,GenerateUUID,Loop,estimated,ms
get signer receiver,0,37,0,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,21542,0,0,0,0,0,0,37,0,32310,35,44,0,0,0,10770,64622,84
add key to account,0,37,0,0,0,0,0,0,484939,0,1414959,0,0,6643,0,0,0,13288,6643,0,0,0,6643,0,37,0,13286,35,44,0,0,0,6643,33217,171
copy array from storage,0,37,0,1827,0,0,0,0,14690,0,0,0,0,0,0,0,0,22037,0,0,0,0,0,0,37,0,1469,35,44,0,0,0,8814,32320,16
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,5978,0,0,0,0,0,0,37,0,2988,35,44,0,0,0,2988,11954,11
transfer tokens,6501,37,0,1913,0,0,0,2167,0,0,403062,67,0,4334,0,0,0,49843,0,0,0,6501,0,0,37,0,23837,35,44,122,0,2167,2167,75847,105
add and remove key to/from account,0,37,0,0,0,0,0,0,51903,0,306441,0,0,1422,0,0,0,2135,1422,0,0,0,711,711,37,0,2133,35,44,0,0,0,711,4979,27
get account and get balance,0,74,0,7510298,0,0,0,0,0,0,0,0,0,0,2734,0,0,16406,0,0,0,0,0,0,74,0,8202,69,24684,0,0,0,2734,27342,344
emit event + reference tx,0,37,0,221,0,0,0,0,0,0,64068,0,0,1124,0,0,0,3886,0,0,0,1124,0,0,37,0,2248,35,44,0,0,0,1634,7768,9
transfer tokens,8088,37,0,1913,0,0,0,2696,0,0,501456,67,0,5392,0,0,0,62010,0,0,0,8088,0,0,37,0,29656,35,44,122,0,2696,2696,94362,164
decode hex + add and remove key to/from account,0,37,0,0,0,0,0,0,264917,0,1564099,0,0,7258,0,0,0,28739,16182,0,0,0,3629,3629,37,0,19811,35,44,0,0,0,12553,61103,215
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,7498,0,0,0,0,0,0,37,0,3748,35,44,0,0,0,3748,14994,16
get account and get available balance + get account and get storage capacity,0,37,338,7873473,338,0,0,0,0,0,0,0,0,0,0,0,0,28655,0,0,2545,0,0,0,37,0,21871,35,20225,0,0,0,2883,53409,367
emit event,0,37,0,221,0,0,0,0,0,0,66918,0,0,1174,0,0,0,3524,0,0,0,1174,0,0,37,0,2348,35,44,0,0,0,1174,7046,4
create new account and deploy contract + get signer receiver,0,429,0,748842,0,0,712,0,13172,0,79744,30616,356,712,0,356,0,23048,712,0,0,356,0,0,429,0,34032,65,74,58740,0,0,11344,68424,502
get account and get available balance + call empty contract function,0,37,1480,3981423,1480,0,0,0,0,0,0,0,0,0,0,0,0,55088,0,0,0,0,0,0,37,0,32722,35,10404,0,0,0,16442,104252,230
add key to account + decode hex,0,37,0,0,0,0,0,0,244477,0,713337,0,0,3349,0,0,0,11302,5649,0,0,0,3349,0,37,0,8998,35,44,0,0,0,5649,25949,100
copy array from storage + get account and get balance,0,74,0,2545467,0,0,0,0,52420,0,0,0,0,0,940,0,0,84274,0,0,0,0,0,0,74,0,8062,69,8538,0,0,0,32392,124728,167
convert int to string and concatenate it + emit event,0,37,0,221,0,0,0,0,0,0,322734,0,0,5662,0,0,0,35452,0,0,0,5662,0,0,37,0,29786,35,44,0,0,0,14893,80131,36
convert int to string + get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10458,0,0,0,0,0,0,37,0,5227,35,44,0,0,0,5227,20912,12
