tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,3032,0,44,0,3034,0,0,0,0,37,35,0,0,0,0,0,1516,0,37,0,0,0,0,0,7582,12
transfer tokens + create new account,0,0,0,0,15111,198,122,0,5037,55605,0,74,0,116251,0,5037,0,0,73,65,0,0,15111,0,0,5235,0,73,947772,0,1913,67,10272,177091,456
transfer tokens to EVM address + transfer tokens,0,0,0,0,22445,0,407230,0,7099,83831,388736,44,0,167860,125338,7099,0,0,37,35,0,0,23596,0,0,7098,1151,37,2325304,24150000,487878,67,16496,258789,533
add key to account + add and remove key to/from account,0,0,961,3639,0,0,0,0,0,8239,265647,44,0,8243,0,0,0,0,37,35,0,0,0,0,0,3639,4600,37,984605,0,0,0,4600,20121,133
emit event + copy array from storage,0,0,0,0,1303,0,0,0,0,4187,15810,44,0,27628,0,0,0,0,37,35,0,0,0,0,0,10789,0,37,74271,0,2089,0,1303,42604,30
convert int to string,0,0,0,0,0,0,0,0,0,7806,0,44,0,15614,0,0,0,0,37,35,0,0,0,0,0,7806,0,37,0,0,0,0,0,31226,10
get account and get storage used + convert int to string and concatenate it,0,0,0,0,0,0,0,5714,0,27158,0,44,0,32876,0,0,0,0,37,35,0,0,0,0,0,16436,0,37,0,0,0,0,0,76470,35
transfer tokens + copy array from storage,0,0,0,0,17139,0,122,0,5713,82292,194490,44,0,423138,0,5713,0,0,37,35,0,0,17139,0,0,122407,0,37,1062618,0,2446,67,11426,627837,532
create and destroy EVM bridged account,0,0,0,0,10475,0,83800,0,10475,31425,628500,44,0,52377,0,10475,0,0,37,35,0,0,20950,0,0,10475,10475,37,0,0,84457,0,0,94277,152
mint NFT + create and destroy EVM bridged account,0,0,0,0,6681,0,1134866,0,6681,25627,65820,44,0,44577,0,1097,0,0,37,35,0,0,18946,0,5729,6681,1097,37,0,0,12360,796529,0,76885,133
