create new account and deploy contract + reference tx,63154,57013,0,9025,1789,21886,4199,356,0,3481,890,482226,2,4288,91,5099,6879,0,1,1517,0,0,2,1339,19651,4376,0,2,580394,4284,3843,19026,22251,179,32697,55747,447,0,12365413,1789,0,1421050,0,1339,5460,0,17,89,9434,0,0,0,89,267,3216,13491,74958,11438,1072,178,480658,1,0,63061,13583,4377,895,197,356,0,2676089,40561,12339,1092,445,2858,0,4030096,0,22250,1161,12691,275713,0,0,0,635,89,3293,312268,11797,91,558435983,148992640
address + function,126156,231,0,34,9,81,16,0,0,10,0,1894,2,16,2,26,27,0,1,4,0,0,2,4,68,14,0,2,2166,12,16,66,91,67489,120,213,2,1,46347,9,0,5489,0,4,31,0,58679,0,0,0,0,0,0,0,12,52,281,46,4,0,1832,1,58662,193640,56,16,5,126169,0,0,10329,157,58,24,0,10,0,8073616,0,89,4,54,1052,0,0,0,13,0,0,1206,49,2,420026645,194551696
get account and get storage used + bool,190608,231,0,34,9,81,16,0,0,10,0,1891,2,16,2,26,26,0,1,4,0,0,2,4,69,15,0,2,2166,12,16,67,90,1,122,211,2872,0,46367,9,0,5487,0,5744,31,0,17,0,0,0,0,0,0,0,12,53,283,46,4,0,1833,1,0,193474,55,16,5,93885,2,0,10326,155,57,2894,0,10,0,6191120,0,89,4,53,1053,0,0,0,12,0,22960,1205,49,2,322486378,194940968
get public account + reference tx,359160,231,0,34,9,81,16,0,0,10,0,1885,2,16,2,26,25,0,1,4,0,0,2,4,69,15,0,2,2246,12,16,67,90,1,121,211,65744,0,46317,9,0,5472,0,131488,31,0,17,0,0,0,0,0,0,0,12,52,283,46,4,0,1828,1,0,424898,55,16,5,19,0,0,10297,155,56,65766,0,10,0,22985872,0,89,4,53,1051,0,0,0,12,0,0,1202,49,2,1309548356,376351280
float + get account and get storage used,38951,231,0,34,9,81,16,0,0,10,0,1891,2,16,2,26,26,0,1,4,0,0,2,4,69,15,0,2,2246,12,16,67,90,1,122,211,1253,0,46364,9,0,5487,0,2506,31,0,17,0,0,0,0,0,0,0,12,53,283,46,4,0,1833,1,0,77892,55,16,5,37713,0,0,10326,155,57,1275,0,12,0,2492496,0,89,4,53,1053,0,0,0,12,0,914664,1205,49,2,137791577,97688824
get account and get storage capacity + convert int to string,45053,71631,0,11458,2151,27213,5014,0,0,3580,0,595220,2,5728,2,6452,7879,0,1,1432,357,0,2,1432,21489,4300,714,2,1011671,4296,5014,20774,27222,2857,36537,67327,3215,0,15867523,2151,1428,1715156,0,7144,6457,0,7157,2142,0,357,1428,0,0,0,4296,16474,86678,14326,1432,0,586597,2857,0,46120,15049,5014,719,7159,0,1428,3240809,48707,14336,54353,0,3580,0,3163432,357,27221,1432,15047,328067,0,0,357,726,0,28560,366060,15043,1073,639567448,286991848
iteration + call empty contract function,65652,231,0,35,9,81,16,0,0,10,0,1916,3,16,3,26,28,0,1,4,0,0,64790,4,69,16,0,3,2250,12,16,68,90,3,122,212,4,0,46530,9,0,5549,1,10,32,0,17,1,289575,0,0,0,0,1287,12,54,288,46,4,0,1849,1,0,194777,57,16,5,66094,0,0,10440,156,60,42927,0,10,0,4177336,0,89,4,53,1063,0,0,21888,15,0,16,1220,49,2,512454956,188313632
path,4256,231,0,34,9,81,16,0,0,10,0,1875,2,16,2,26,26,0,1,4,0,0,2,4,68,14,0,1,2246,13,16,66,90,1,120,212,2,0,63283,9,0,5448,0,4,29,0,17,0,0,0,0,0,0,0,12,50,277,46,4,0,1822,1,0,8503,54,16,5,4270,0,0,10253,156,55,24,0,10,0,272072,0,89,4,53,1048,0,0,0,9,0,0,1197,49,4253,15363918,6840392
address + load and save long string on signers address,100633,231,0,35,9,81,16,0,0,10,0,1894,2,16,2,26,26,0,1,4,509,0,511,4,71,16,0,2,2210,14,16,68,90,100117,122,213,2,0,56033,9,0,5514,0,4,31,0,17,0,0,0,0,0,0,0,12,52,285,46,4,0,1841,1,0,202779,55,16,5,100135,0,0,10376,157,57,1042,0,10,0,6440016,0,89,4,53,1061,0,0,0,13,0,0,1216,49,1020,330937249,157855704
function,89223,231,0,34,9,81,16,0,0,10,0,1875,2,16,2,26,26,0,1,4,0,0,2,4,68,14,0,1,2166,12,16,66,91,1,120,212,2,1,46260,9,0,5449,0,4,29,0,89235,0,0,0,0,0,0,0,12,50,277,46,4,0,1820,1,89218,89219,55,16,5,89237,0,0,10251,156,55,24,0,10,0,5709960,0,89,4,54,1046,0,0,0,9,0,0,1198,49,2,302069776,151325400
create new account and deploy contract + float,3994,35487,0,5392,1153,13757,2668,208,0,2974,1040,309167,2,2512,54,3198,4863,0,1,1096,0,0,2,992,13279,2667,0,2,344551,2820,2356,13121,14182,105,22171,35987,262,0,7927325,1153,0,918169,0,784,3723,0,17,52,5512,0,0,0,260,156,1884,9049,49011,7118,628,104,308954,1,0,7770,9519,2668,733,3955,208,0,1724097,26571,8586,648,260,2404,0,248592,0,14181,1200,8373,179004,0,0,0,584,52,93892,202923,7329,54,237398614,37857240
get public account + float,55121,231,0,34,9,81,16,0,0,10,0,1891,2,16,2,26,26,0,1,4,0,0,2,4,69,15,0,2,2166,12,16,67,90,1,121,211,23631,0,46353,9,0,5484,0,47262,31,0,17,0,0,0,0,0,0,0,12,53,283,46,4,0,1832,1,0,110232,55,16,5,31505,0,0,10321,155,57,23653,0,12,0,3527376,0,89,4,53,1052,0,0,0,12,0,755664,1204,49,2,240490254,146445152
load and save empty string on signers address,45620,231,0,35,9,81,16,0,0,10,0,1875,2,16,2,26,25,0,1,4,45613,0,45615,4,71,16,0,1,2290,14,16,68,90,1,122,212,2,0,867819,9,0,5474,0,4,29,0,17,0,0,0,0,0,0,0,12,50,281,46,4,0,1829,1,0,228066,54,16,5,19,0,0,10298,156,54,91250,0,10,0,2919240,0,89,4,53,1055,0,0,0,9,0,0,1208,49,91228,164725609,187805728
copy array from storage and save a duplicate,39277,231,2,34,9,81,16,1,0,10,0,1904,2,16,4,26,28,0,1,4,11220,0,5612,4,72,16,0,2,3177,15,16,69,90,1,125,214,2,0,142381,9,0,5568,0,4,31,0,17,0,224400,0,0,0,1,44880,12,53,292,46,4,0,1855,1,0,89761,55,16,5,16849,0,0,10474,158,59,16854,0,10,0,3769928,0,89,4,53,1079,0,0,0,12,0,16,1237,49,16832,426066440,330538384
